[2023-12-18 12:37:59,904] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:59,968] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:38:00,032] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:38:00,096] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:38:00,160] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:38:00,224] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:38:00,287] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:38:00,351] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:38:00,416] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:38:00,480] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:38:00,544] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:38:00,607] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:38:00,671] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:38:00,735] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:38:00,799] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:38:00,863] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:38:00,928] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:38:00,992] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:38:01,056] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:38:01,120] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:38:01,184] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:38:01,248] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:38:01,312] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:38:01,376] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:38:01,441] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:38:01,505] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:38:01,568] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:38:01,632] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:38:01,696] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:38:01,760] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:38:01,824] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:38:01,888] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:38:01,953] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:38:02,017] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:38:02,080] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:38:02,144] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:38:02,208] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:38:02,272] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:38:02,336] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:38:02,403] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:38:02,465] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:38:02,529] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:38:02,593] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:38:02,656] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:38:02,720] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:38:02,785] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:38:02,849] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:38:02,914] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:38:02,978] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:38:04,812] - [INFO] - [websocket open]
[2023-12-18 12:39:23,948] - [INFO] - [websocket open]
[2023-12-18 12:39:39,488] - [INFO] - [websocket open]
[2023-12-18 12:39:50,847] - [INFO] - [websocket open]
[2023-12-18 12:40:01,498] - [INFO] - [websocket open]
[2023-12-18 12:40:09,371] - [INFO] - [websocket open]
[2023-12-18 12:41:29,824] - [INFO] - [websocket open]
[2023-12-18 12:43:32,859] - [INFO] - [websocket open]
[2023-12-18 12:43:56,796] - [INFO] - [websocket open]
[2023-12-18 12:53:32,950] - [INFO] - [websocket open]
[2023-12-18 12:54:00,104] - [INFO] - [websocket open]
[2023-12-18 12:54:48,367] - [INFO] - [websocket open]
[2023-12-18 12:54:49,247] - [ERROR] - [now status is WebsocketStatus.STATE_START receive error resp {"resp_type":"ERROR","trace_id":"5acf6cf2-c003-49b2-bb43-f8d003f4185b","error_code":"SIS.0032","error_msg":"audio size out range"}]
[2023-12-18 12:54:49,373] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:54:49,437] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:54:49,501] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:54:49,565] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:54:49,629] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:54:49,693] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:54:49,757] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:54:49,821] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:54:49,885] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:54:49,949] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:54:50,013] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:54:50,077] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:54:50,141] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:54:50,205] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:54:50,269] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:54:50,333] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:54:50,397] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:54:50,462] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:54:50,526] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:54:50,590] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:54:50,654] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:54:50,718] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:54:50,782] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:54:50,846] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:54:50,910] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:54:50,974] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:54:51,038] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
